tahun,provinsi,kabupaten_kota,luas_lahan_ha,volume
2025,SULAWESI SELATAN,KEPULAUAN SELAYAR,464.8,75.36
2025,NUSA TENGGARA TIMUR,NAGEKEO,84.4,11785.1
2025,JAWA TENGAH,KEBUMEN,1.37,38.68
2025,NUSA TENGGARA TIMUR,SABU RAIJUA,55.0,4437.13
2025,NUSA TENGGARA TIMUR,SUMBA TIMUR,5.0,211.95
2025,JAWA TIMUR,LAMONGAN,217.07,4544.86
2025,JAWA TIMUR,PAMEKASAN,1992.73,128069.69
2025,ACEH,ACEH BESAR,0.15,916.64
2025,NUSA TENGGARA TIMUR,BELU,0.0,10.23
2025,JAWA TIMUR,SAMPANG,4403.98,36507.85
2025,NUSA TENGGARA BARAT,LOMBOK TENGAH,13.47,82.6
2025,ACEH,PIDIE,0.44,5632.81
2025,SULAWESI SELATAN,JENEPONTO,603.67,8887.16
2025,NUSA TENGGARA BARAT,BIMA,664.33,39997.09
2025,JAWA TIMUR,PROBOLINGGO,180.07,3225.7
2025,JAWA TIMUR,SUMENEP,4919.74,159220.67
2025,JAWA TENGAH,DEMAK,1210.18,13868.65
2025,SULAWESI SELATAN,MAROS,11.27,39.63
2025,NUSA TENGGARA TIMUR,ENDE,0.0,863.9
2025,SULAWESI TENGAH,KOTA PALU,10.26,362.9
2025,NUSA TENGGARA TIMUR,FLORES TIMUR,0.08,44.86
2025,SULAWESI SELATAN,PANGKAJENE KEPULAUAN,776.37,4650.82
2025,NUSA TENGGARA TIMUR,LEMBATA,0.04,14.15
2025,SULAWESI SELATAN,TAKALAR,144.51,5300.56
2025,JAWA TIMUR,SIDOARJO,154.9,13493.56
2025,JAWA BARAT,SUKABUMI,2.0,15.2
2025,JAWA BARAT,KARAWANG,201.35,509.24
2025,NUSA TENGGARA TIMUR,ROTE NDAO,2.3,109.52
2025,JAWA TENGAH,REMBANG,1639.9,42112.3
2025,ACEH,PIDIE JAYA,0.0,700.46
2025,NUSA TENGGARA BARAT,SUMBAWA,91.92,1999.75
2025,JAWA TIMUR,TUBAN,224.35,3427.25
2025,JAWA TIMUR,GRESIK,113.4,1698.17
2025,KALIMANTAN TIMUR,KUTAI KARTANEGARA,0.28,2.1
2025,JAWA TIMUR,KOTA PASURUAN,106.69,4542.79
2025,NUSA TENGGARA TIMUR,KUPANG,57.5,1002.93
2025,JAWA BARAT,CIREBON,1304.0,12008.34
2025,NUSA TENGGARA TIMUR,MALAKA,0.0,114.4
2025,BANTEN,SERANG,28.43,80.0
2025,JAWA BARAT,CIANJUR,0.4,10.0
2025,ACEH,ACEH SELATAN,0.45,57.86
2025,NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,0.0,3.25
2025,ACEH,ACEH BARAT DAYA,0.0,90.85
2025,NUSA TENGGARA TIMUR,MANGGARAI,11.1,63.76
2025,ACEH,BIREUEN,0.28,363.6
2025,NUSA TENGGARA BARAT,LOMBOK BARAT,37.44,208.27
2025,NUSA TENGGARA BARAT,KOTA BIMA,3.0,41.4
2025,JAWA TENGAH,PURWOREJO,2.08,136.92
2025,JAWA TENGAH,BREBES,565.15,1294.35
2025,JAWA TIMUR,PASURUAN,249.27,5929.53
2025,BALI,BULELENG,88.42,3072.58
2025,BALI,KARANGASEM,0.0,167.07
2025,JAWA BARAT,SUBANG,1.8,0.0
2025,JAWA BARAT,INDRAMAYU,2839.27,35383.71
2025,ACEH,ACEH UTARA,0.68,964.53
2025,BALI,KLUNGKUNG,0.06,20.79
2025,SULAWESI TENGAH,BUOL,1100.31,19.44
2025,JAWA TENGAH,JEPARA,672.76,14174.36
2025,JAWA TIMUR,KOTA SURABAYA,674.43,43841.53
2025,JAWA TENGAH,PATI,5902.71,211544.23
2025,JAWA BARAT,PANGANDARAN,0.2,12.93
2025,NUSA TENGGARA BARAT,LOMBOK TIMUR,74.1,745.74
2025,JAWA TIMUR,BANGKALAN,174.83,4718.72
2025,ACEH,ACEH TIMUR,0.2,203.85
2025,GORONTALO,POHUWATO,108.53,188.85
2025,DAERAH ISTIMEWA YOGYAKARTA,GUNUNGKIDUL,0.06,3.48
2025,JAWA TENGAH,CILACAP,2.28,1.75
2025,NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,8.02,1881.04
2025,JAWA TENGAH,GROBOGAN,0.0,30.95
